cuda:4
Training N=64 T=01
Epoch: 75 | Train Loss: 0.04521 | Test Loss: 0.04827 | lr: 0.01
Epoch: 76 | Train Loss: 0.06261 | Test Loss: 0.0662 | lr: 0.01
Epoch: 77 | Train Loss: 0.04657 | Test Loss: 0.0496 | lr: 0.01
Epoch: 78 | Train Loss: 0.05023 | Test Loss: 0.05269 | lr: 0.01
Epoch: 79 | Train Loss: 0.0423 | Test Loss: 0.04593 | lr: 0.01
Epoch: 80 | Train Loss: 0.04702 | Test Loss: 0.05013 | lr: 0.01
Epoch: 81 | Train Loss: 0.04648 | Test Loss: 0.04907 | lr: 0.01
Epoch: 82 | Train Loss: 0.05105 | Test Loss: 0.05438 | lr: 0.01
Epoch: 83 | Train Loss: 0.05639 | Test Loss: 0.06028 | lr: 0.01
Epoch: 84 | Train Loss: 0.0452 | Test Loss: 0.04854 | lr: 0.01
Epoch: 85 | Train Loss: 0.0459 | Test Loss: 0.04888 | lr: 0.01
Epoch: 86 | Train Loss: 0.0425 | Test Loss: 0.04558 | lr: 0.01
Epoch: 87 | Train Loss: 0.04108 | Test Loss: 0.04435 | lr: 0.01
Epoch: 88 | Train Loss: 0.04107 | Test Loss: 0.04505 | lr: 0.01
Epoch: 89 | Train Loss: 0.043 | Test Loss: 0.04596 | lr: 0.01
Epoch: 90 | Train Loss: 0.04922 | Test Loss: 0.05233 | lr: 0.01
Epoch: 91 | Train Loss: 0.05693 | Test Loss: 0.05994 | lr: 0.01
Epoch: 92 | Train Loss: 0.04587 | Test Loss: 0.04962 | lr: 0.01
Epoch: 93 | Train Loss: 0.0523 | Test Loss: 0.05545 | lr: 0.01
Epoch: 94 | Train Loss: 0.0649 | Test Loss: 0.06591 | lr: 0.01
Epoch: 95 | Train Loss: 0.04905 | Test Loss: 0.0513 | lr: 0.01
Epoch: 96 | Train Loss: 0.04947 | Test Loss: 0.05208 | lr: 0.01
Epoch: 97 | Train Loss: 0.04106 | Test Loss: 0.04358 | lr: 0.01
Epoch: 98 | Train Loss: 0.04374 | Test Loss: 0.0467 | lr: 0.01
Epoch: 99 | Train Loss: 0.04932 | Test Loss: 0.05144 | lr: 0.01
Epoch: 100 | Train Loss: 0.03885 | Test Loss: 0.0414 | lr: 0.01
Epoch: 101 | Train Loss: 0.02427 | Test Loss: 0.02786 | lr: 0.005
Epoch: 102 | Train Loss: 0.02171 | Test Loss: 0.02507 | lr: 0.005
Epoch: 103 | Train Loss: 0.05329 | Test Loss: 0.05452 | lr: 0.005
Epoch: 104 | Train Loss: 0.03624 | Test Loss: 0.0376 | lr: 0.005
Epoch: 105 | Train Loss: 0.0223 | Test Loss: 0.02557 | lr: 0.005
Epoch: 106 | Train Loss: 0.03534 | Test Loss: 0.03615 | lr: 0.005
Epoch: 107 | Train Loss: 0.03822 | Test Loss: 0.03951 | lr: 0.005
Epoch: 108 | Train Loss: 0.02455 | Test Loss: 0.02651 | lr: 0.005
Epoch: 109 | Train Loss: 0.02834 | Test Loss: 0.03062 | lr: 0.005
Epoch: 110 | Train Loss: 0.02335 | Test Loss: 0.026 | lr: 0.005
Epoch: 111 | Train Loss: 0.02014 | Test Loss: 0.02258 | lr: 0.005
Epoch: 112 | Train Loss: 0.02125 | Test Loss: 0.02415 | lr: 0.005
Epoch: 113 | Train Loss: 0.02108 | Test Loss: 0.02355 | lr: 0.005
Epoch: 114 | Train Loss: 0.03029 | Test Loss: 0.03256 | lr: 0.005
Epoch: 115 | Train Loss: 0.02225 | Test Loss: 0.02421 | lr: 0.005
Epoch: 116 | Train Loss: 0.02168 | Test Loss: 0.02347 | lr: 0.005
Epoch: 117 | Train Loss: 0.02295 | Test Loss: 0.02505 | lr: 0.005
Epoch: 118 | Train Loss: 0.02106 | Test Loss: 0.02328 | lr: 0.005
Epoch: 119 | Train Loss: 0.02859 | Test Loss: 0.03042 | lr: 0.005
Epoch: 120 | Train Loss: 0.02161 | Test Loss: 0.02408 | lr: 0.005
Epoch: 121 | Train Loss: 0.01945 | Test Loss: 0.0216 | lr: 0.005
Epoch: 122 | Train Loss: 0.02204 | Test Loss: 0.02429 | lr: 0.005
Epoch: 123 | Train Loss: 0.02198 | Test Loss: 0.02434 | lr: 0.005
Epoch: 124 | Train Loss: 0.02577 | Test Loss: 0.0274 | lr: 0.005
Epoch: 125 | Train Loss: 0.02265 | Test Loss: 0.02533 | lr: 0.005
Epoch: 126 | Train Loss: 0.02155 | Test Loss: 0.02347 | lr: 0.005
Epoch: 127 | Train Loss: 0.02322 | Test Loss: 0.02554 | lr: 0.005
Epoch: 128 | Train Loss: 0.02859 | Test Loss: 0.03068 | lr: 0.005
Epoch: 129 | Train Loss: 0.04017 | Test Loss: 0.0418 | lr: 0.005
Epoch: 130 | Train Loss: 0.02964 | Test Loss: 0.03162 | lr: 0.005
Epoch: 131 | Train Loss: 0.02341 | Test Loss: 0.02568 | lr: 0.005
Epoch: 132 | Train Loss: 0.02082 | Test Loss: 0.02255 | lr: 0.005
Epoch: 133 | Train Loss: 0.02274 | Test Loss: 0.02413 | lr: 0.005
Epoch: 134 | Train Loss: 0.02296 | Test Loss: 0.02503 | lr: 0.005
